Mon Jan 23 16:04:10 JST 2023
WPSCE-5000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,864,617,864,0,1481,2600,5261,0.0,0.0,1.0,0.0,0.0,-5261.0,
1,0,26,1649,3487,3487,0,5162,3400,9762,0.0,0.0,1.0,0.0,0.0,-9762.0,
2,0,214,641,860,860,0,1715,3000,5915,0.0,0.0,1.0,0.0,0.0,-5915.0,
3,0,890,4227,1856,4227,0,6973,3400,11543,0.0,0.0,1.0,0.0,0.0,-11543.0,
4,0,0,1725,3573,3573,0,5298,2600,9128,0.0,0.0,1.0,0.0,0.0,-9128.0,
5,0,0,394,403,403,0,797,2600,4607,0.0,0.0,1.0,0.0,0.0,-4607.0,
6,0,151,711,667,711,0,1529,2600,5319,0.0,0.0,1.0,0.0,0.0,-5319.0,
7,0,0,366,379,379,0,745,2600,4515,0.0,0.0,1.0,0.0,0.0,-4515.0,
8,0,0,1727,888,1727,0,2615,2600,6405,0.0,0.0,1.0,0.0,0.0,-6405.0,
9,0,0,180,1146,1146,0,1326,3400,5916,0.0,0.0,1.0,0.0,0.0,-5916.0,
10,0,1559,4154,1975,4154,0,7688,3000,11838,0.0,0.0,1.0,0.0,0.0,-11838.0,
11,0,0,437,1006,1006,0,1443,2600,5273,0.0,0.0,1.0,0.0,0.0,-5273.0,
12,0,0,296,4283,4283,0,4579,3000,8809,0.0,0.0,1.0,0.0,0.0,-8809.0,
13,0,124,115,1734,1734,0,1973,2600,5753,0.0,0.0,1.0,0.0,0.0,-5753.0,
14,0,0,63,141,141,0,204,2600,3964,0.0,0.0,1.0,0.0,0.0,-3964.0,
15,0,185,667,3765,3765,0,4617,2600,8437,0.0,0.0,1.0,0.0,0.0,-8437.0,
16,0,0,1625,2006,2006,0,3631,3400,8211,0.0,0.0,1.0,0.0,0.0,-8211.0,
17,0,107,31,1168,1168,0,1306,3400,5876,0.0,0.0,1.0,0.0,0.0,-5876.0,
18,0,0,415,437,437,0,852,2600,4622,0.0,0.0,1.0,0.0,0.0,-4622.0,
19,0,181,1276,3289,3289,0,4746,2600,8596,0.0,0.0,1.0,0.0,0.0,-8596.0,
20,0,0,521,3430,3430,0,3951,3000,8161,0.0,0.0,1.0,0.0,0.0,-8161.0,
21,0,107,10,520,520,0,637,2600,4407,0.0,0.0,1.0,0.0,0.0,-4407.0,
22,0,0,90,150,150,0,240,2600,4030,0.0,0.0,1.0,0.0,0.0,-4030.0,
23,0,227,69,584,584,0,880,2600,4670,0.0,0.0,1.0,0.0,0.0,-4670.0,
24,0,0,375,3038,3038,0,3413,2600,7203,0.0,0.0,1.0,0.0,0.0,-7203.0,
25,0,187,1201,382,1201,0,1770,2600,5550,0.0,0.0,1.0,0.0,0.0,-5550.0,
26,9,1562,1268,4269,4269,9,7108,3000,11268,0.0,0.0,1.0,0.0,0.0,-11268.0,
27,0,159,1187,360,1187,0,1706,2600,5496,0.0,0.0,1.0,0.0,0.0,-5496.0,
28,0,76,75,179,179,0,330,2600,4120,0.0,0.0,1.0,0.0,0.0,-4120.0,
29,0,175,671,3747,3747,0,4593,2600,8383,0.0,0.0,1.0,0.0,0.0,-8383.0,
30,0,0,554,587,587,0,1141,2600,4971,0.0,0.0,1.0,0.0,0.0,-4971.0,
31,0,0,67,252,252,0,319,2600,4099,0.0,0.0,1.0,0.0,0.0,-4099.0,
32,0,111,865,3341,3341,0,4317,3000,8517,0.0,0.0,1.0,0.0,0.0,-8517.0,
33,0,169,27,1626,1626,0,1822,3000,6022,0.0,0.0,1.0,0.0,0.0,-6022.0,
34,0,222,177,1212,1212,0,1611,3000,5811,0.0,0.0,1.0,0.0,0.0,-5811.0,
35,0,230,1406,3532,3532,0,5168,3000,9398,0.0,0.0,1.0,0.0,0.0,-9398.0,
36,0,0,1820,985,1820,0,2805,2600,6595,0.0,0.0,1.0,0.0,0.0,-6595.0,
37,0,0,1879,576,1879,0,2455,3000,6655,0.0,0.0,1.0,0.0,0.0,-6655.0,
38,0,106,617,3528,3528,0,4251,3000,8451,0.0,0.0,1.0,0.0,0.0,-8451.0,
39,0,368,324,3447,3447,0,4139,3400,8749,0.0,0.0,1.0,0.0,0.0,-8749.0,
40,0,346,194,3697,3697,0,4237,2600,8057,0.0,0.0,1.0,0.0,0.0,-8057.0,
41,0,200,185,680,680,0,1065,3400,5665,0.0,0.0,1.0,0.0,0.0,-5665.0,
42,0,46,727,3547,3547,0,4320,3000,8520,0.0,0.0,1.0,0.0,0.0,-8520.0,
43,0,226,180,772,772,0,1178,2600,4978,0.0,0.0,1.0,0.0,0.0,-4978.0,
44,0,165,1245,3559,3559,0,4969,3400,9559,0.0,0.0,1.0,0.0,0.0,-9559.0,
45,0,227,1289,3739,3739,0,5255,3400,9855,0.0,0.0,1.0,0.0,0.0,-9855.0,
46,0,234,1408,3314,3314,0,4956,2600,8786,0.0,0.0,1.0,0.0,0.0,-8786.0,
47,0,323,464,545,545,0,1332,2600,5132,0.0,0.0,1.0,0.0,0.0,-5132.0,
48,0,0,382,802,802,0,1184,2600,4994,0.0,0.0,1.0,0.0,0.0,-4994.0,
49,0,132,392,596,596,0,1120,2200,4570,0.0,0.0,1.0,0.0,0.0,-4570.0,
50,0,0,385,3761,3761,0,4146,3000,8376,0.0,0.0,1.0,0.0,0.0,-8376.0,
51,0,1031,374,928,1031,0,2333,3400,6923,0.0,0.0,1.0,0.0,0.0,-6923.0,
52,0,355,1104,514,1104,0,1973,4200,7353,0.0,0.0,1.0,0.0,0.0,-7353.0,
53,0,375,48,789,789,0,1212,2600,5012,0.0,0.0,1.0,0.0,0.0,-5012.0,
54,0,283,1963,948,1963,0,3194,2600,6964,0.0,0.0,1.0,0.0,0.0,-6964.0,
55,0,1397,2633,2013,2633,0,6043,4600,11843,0.0,0.0,1.0,0.0,0.0,-11843.0,
56,0,411,292,3554,3554,0,4257,3000,8487,0.0,0.0,1.0,0.0,0.0,-8487.0,
57,0,183,1813,3331,3331,0,5327,2600,9107,0.0,0.0,1.0,0.0,0.0,-9107.0,
58,0,402,272,3816,3816,0,4490,2600,8280,0.0,0.0,1.0,0.0,0.0,-8280.0,
59,0,34,731,3565,3565,0,4330,3000,8540,0.0,0.0,1.0,0.0,0.0,-8540.0,
60,0,156,1909,1058,1909,0,3123,2600,6913,0.0,0.0,1.0,0.0,0.0,-6913.0,
61,0,0,435,3474,3474,0,3909,2600,7719,0.0,0.0,1.0,0.0,0.0,-7719.0,
62,0,29,116,500,500,0,645,2600,4485,0.0,0.0,1.0,0.0,0.0,-4485.0,
63,0,98,291,340,340,0,729,2600,4539,0.0,0.0,1.0,0.0,0.0,-4539.0,
64,0,463,986,1115,1115,0,2564,2600,6364,0.0,0.0,1.0,0.0,0.0,-6364.0,
65,0,391,1892,1002,1892,0,3285,2600,7095,0.0,0.0,1.0,0.0,0.0,-7095.0,
66,0,340,505,844,844,0,1689,3000,5849,0.0,0.0,1.0,0.0,0.0,-5849.0,
67,0,361,1886,3690,3690,0,5937,2600,9757,0.0,0.0,1.0,0.0,0.0,-9757.0,
68,0,406,1114,10576,10576,0,12096,3400,16706,0.0,0.0,1.0,0.0,0.0,-16706.0,
69,0,411,639,604,639,0,1654,2600,5444,0.0,0.0,1.0,0.0,0.0,-5444.0,
70,0,412,164,553,553,0,1129,2600,4929,0.0,0.0,1.0,0.0,0.0,-4929.0,
71,0,51,1159,3483,3483,0,4693,3400,9293,0.0,0.0,1.0,0.0,0.0,-9293.0,
72,0,235,1969,3675,3675,0,5879,2600,9679,0.0,0.0,1.0,0.0,0.0,-9679.0,
73,0,413,75,744,744,0,1232,2600,5022,0.0,0.0,1.0,0.0,0.0,-5022.0,
74,0,460,3307,887,3307,0,4654,3800,9624,0.0,0.0,1.0,0.0,0.0,-9624.0,
75,0,455,200,587,587,0,1242,2600,5022,0.0,0.0,1.0,0.0,0.0,-5022.0,
76,0,409,7,552,552,0,968,2600,4748,0.0,0.0,1.0,0.0,0.0,-4748.0,
77,0,232,512,3769,3769,0,4513,2600,8343,0.0,0.0,1.0,0.0,0.0,-8343.0,
78,0,463,637,3563,3563,0,4663,2600,8453,0.0,0.0,1.0,0.0,0.0,-8453.0,
79,0,238,956,636,956,0,1830,3000,6040,0.0,0.0,1.0,0.0,0.0,-6040.0,
80,0,406,3309,878,3309,0,4593,3000,8773,0.0,0.0,1.0,0.0,0.0,-8773.0,
81,0,123,3523,2642,3523,0,6288,3800,11288,0.0,0.0,1.0,0.0,0.0,-11288.0,
82,0,571,788,1152,1152,0,2511,3000,6691,0.0,0.0,1.0,0.0,0.0,-6691.0,
83,0,516,197,638,638,0,1351,2600,5151,0.0,0.0,1.0,0.0,0.0,-5151.0,
84,0,581,443,3464,3464,0,4488,3000,8698,0.0,0.0,1.0,0.0,0.0,-8698.0,
85,0,607,1923,3648,3648,0,6178,3000,10398,0.0,0.0,1.0,0.0,0.0,-10398.0,
86,0,1228,849,3511,3511,0,5588,3400,10188,0.0,0.0,1.0,0.0,0.0,-10188.0,
87,0,461,798,933,933,0,2192,2600,5972,0.0,0.0,1.0,0.0,0.0,-5972.0,
88,0,1419,8914,8211,8914,0,18544,3800,23594,0.0,0.0,1.0,0.0,0.0,-23594.0,
89,0,460,626,794,794,0,1880,2600,5640,0.0,0.0,1.0,0.0,0.0,-5640.0,
90,0,639,255,639,639,0,1533,2600,5343,0.0,0.0,1.0,0.0,0.0,-5343.0,
91,0,432,1903,719,1903,0,3054,2600,6844,0.0,0.0,1.0,0.0,0.0,-6844.0,
92,0,581,2450,2393,2450,0,5424,2600,9194,0.0,0.0,1.0,0.0,0.0,-9194.0,
93,162,539,1903,6326,6326,162,8930,3400,13580,0.0,0.0,1.0,0.0,0.0,-13580.0,
94,0,641,226,3457,3457,0,4324,2600,8144,0.0,0.0,1.0,0.0,0.0,-8144.0,
95,0,297,761,3329,3329,0,4387,3400,9037,0.0,0.0,1.0,0.0,0.0,-9037.0,
96,0,559,1914,797,1914,0,3270,2600,7080,0.0,0.0,1.0,0.0,0.0,-7080.0,
97,0,591,448,1122,1122,0,2161,3400,6731,0.0,0.0,1.0,0.0,0.0,-6731.0,
98,0,688,2505,1350,2505,0,4543,2600,8323,0.0,0.0,1.0,0.0,0.0,-8323.0,
99,0,809,3559,14958,14958,0,19326,2600,23136,0.0,0.0,1.0,0.0,0.0,-23136.0,
100,36,732,2938,11052,11052,36,14758,4600,20558,0.0,0.0,1.0,0.0,0.0,-20558.0,
101,0,808,469,1027,1027,0,2304,2600,6084,0.0,0.0,1.0,0.0,0.0,-6084.0,
102,0,616,2198,3357,3357,0,6171,2600,9941,0.0,0.0,1.0,0.0,0.0,-9941.0,
103,0,28,87,2162,2162,0,2277,2600,6077,0.0,0.0,1.0,0.0,0.0,-6077.0,
104,143,0,56,788,788,0,987,2600,4797,0.0,0.0,1.0,0.0,0.0,-4797.0,
105,0,679,608,8454,8454,0,9741,3000,13921,0.0,0.0,1.0,0.0,0.0,-13921.0,
106,205,51,603,2644,2644,51,3503,4200,8903,0.0,0.0,1.0,0.0,0.0,-8903.0,
107,0,859,1519,3325,3325,0,5703,2600,9513,0.0,0.0,1.0,0.0,0.0,-9513.0,
108,0,16,1213,1144,1213,0,2373,3000,6563,0.0,0.0,1.0,0.0,0.0,-6563.0,
109,0,623,942,2607,2607,0,4172,2600,7962,0.0,0.0,1.0,0.0,0.0,-7962.0,
110,389,1121,3350,1705,3350,389,6565,4200,11935,0.0,0.0,1.0,0.0,0.0,-11935.0,
111,0,851,3753,16277,16277,0,20881,2600,24671,0.0,0.0,1.0,0.0,0.0,-24671.0,
112,0,13,1194,3517,3517,0,4724,3400,9324,0.0,0.0,1.0,0.0,0.0,-9324.0,
113,0,931,1545,712,1545,0,3188,2600,6968,0.0,0.0,1.0,0.0,0.0,-6968.0,
114,139,85,558,533,558,85,1315,2600,5105,0.0,0.0,1.0,0.0,0.0,-5105.0,
115,151,270,291,596,596,151,1308,2200,4758,0.0,0.0,1.0,0.0,0.0,-4758.0,
116,164,222,521,456,521,164,1363,2600,5163,0.0,0.0,1.0,0.0,0.0,-5163.0,
117,0,1042,4378,3282,4378,0,8702,2600,12492,0.0,0.0,1.0,0.0,0.0,-12492.0,
118,0,783,650,3511,3511,0,4944,3400,9544,0.0,0.0,1.0,0.0,0.0,-9544.0,
119,0,615,1700,3331,3331,0,5646,2600,9466,0.0,0.0,1.0,0.0,0.0,-9466.0,
120,0,929,1573,669,1573,0,3171,2600,6951,0.0,0.0,1.0,0.0,0.0,-6951.0,
