Fri Jan 20 20:45:58 JST 2023,,,,,,,,,,,,,,,
WPSCE-5000_SEED(2),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,748,871,871,0,1619,2600,5419,0,0,1,0,0,-5419
1,0,0,393,2913,2913,0,3306,3000,7516,0,0,1,0,0,-7516
2,0,0,622,574,622,0,1196,2600,4986,0,0,1,0,0,-4986
3,0,214,4400,1881,4400,0,6495,3000,10705,0,0,1,0,0,-10705
4,0,544,5050,2946,5050,0,8540,3400,13120,0,0,1,0,0,-13120
5,0,0,625,704,704,0,1329,2600,5149,0,0,1,0,0,-5149
6,0,0,755,682,755,0,1437,2600,5217,0,0,1,0,0,-5217
7,130,0,468,1922,1922,0,2520,3000,6720,0,0,1,0,0,-6720
8,0,0,77,650,650,0,727,2600,4527,0,0,1,0,0,-4527
9,0,0,19,225,225,0,244,2600,4024,0,0,1,0,0,-4024
10,0,0,111,1611,1611,0,1722,2600,5532,0,0,1,0,0,-5532
11,0,84,296,1375,1375,0,1755,3000,5935,0,0,1,0,0,-5935
12,0,197,617,2122,2122,0,2936,3000,7176,0,0,1,0,0,-7176
13,0,0,469,2816,2816,0,3285,3000,7505,0,0,1,0,0,-7505
14,0,0,630,2022,2022,0,2652,2600,6472,0,0,1,0,0,-6472
15,0,169,212,2368,2368,0,2749,2600,6569,0,0,1,0,0,-6569
16,0,0,551,2876,2876,0,3427,3000,7667,0,0,1,0,0,-7667
17,0,202,689,2332,2332,0,3223,2600,7033,0,0,1,0,0,-7033
18,0,0,1658,1847,1847,0,3505,3000,7695,0,0,1,0,0,-7695
19,0,0,277,2803,2803,0,3080,3400,7690,0,0,1,0,0,-7690
20,0,316,815,1171,1171,0,2302,2600,6142,0,0,1,0,0,-6142
21,0,0,950,1043,1043,0,1993,2600,5793,0,0,1,0,0,-5793
22,0,0,475,677,677,0,1152,2600,4962,0,0,1,0,0,-4962
23,0,391,6615,8062,8062,0,15068,3800,20108,0,0,1,0,0,-20108
24,0,0,75,652,652,0,727,2600,4497,0,0,1,0,0,-4497
25,0,0,341,704,704,0,1045,2600,4845,0,0,1,0,0,-4845
26,0,766,3160,4302,4302,0,8228,5400,14838,0,0,1,0,0,-14838
27,0,0,76,638,638,0,714,2600,4504,0,0,1,0,0,-4504
