Sat Jan 21 20:56:26 JST 2023,,,,,,,,,,,,,,,
WPSCE-5000_SEED(6),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,487,3993,3993,0,4480,3800,9480,0,0,1,0,0,-9480
1,0,0,316,2187,2187,0,2503,3800,7483,0,0,1,0,0,-7483
2,0,66,1853,3101,3101,0,5020,2600,8830,0,0,1,0,0,-8830
3,0,0,1122,3884,3884,0,5006,2600,8836,0,0,1,0,0,-8836
4,0,0,1359,2317,2317,0,3676,2600,7506,0,0,1,0,0,-7506
5,0,0,449,170,449,0,619,2600,4399,0,0,1,0,0,-4399
6,0,206,1191,2803,2803,0,4200,3000,8390,0,0,1,0,0,-8390
7,0,208,369,2084,2084,0,2661,2600,6451,0,0,1,0,0,-6451
8,115,1497,5164,3893,5164,115,10669,3400,15289,0,0,1,0,0,-15289
9,259,2420,4637,3723,4637,259,11039,3400,15669,0,0,1,0,0,-15669
10,0,196,2476,1234,2476,0,3906,2600,7706,0,0,1,0,0,-7706
11,0,69,302,2160,2160,0,2531,2600,6351,0,0,1,0,0,-6351
12,0,0,1395,3166,3166,0,4561,3000,8781,0,0,1,0,0,-8781
13,0,135,124,1059,1059,0,1318,2600,5128,0,0,1,0,0,-5128
14,0,0,425,1439,1439,0,1864,2600,5664,0,0,1,0,0,-5664
15,0,306,1776,2463,2463,0,4545,2600,8345,0,0,1,0,0,-8345
16,0,9,9,581,581,0,599,2600,4379,0,0,1,0,0,-4379
17,0,59,1846,2606,2606,0,4511,2600,8321,0,0,1,0,0,-8321
18,0,281,1495,4770,4770,0,6546,3000,10726,0,0,1,0,0,-10726
19,0,59,766,1236,1236,0,2061,2200,5461,0,0,1,0,0,-5461
20,0,0,381,851,851,0,1232,2200,4682,0,0,1,0,0,-4682
21,0,314,605,3822,3822,0,4741,2600,8561,0,0,1,0,0,-8561
22,0,62,1939,574,1939,0,2575,2600,6375,0,0,1,0,0,-6375
23,0,59,148,846,846,0,1053,2600,4813,0,0,1,0,0,-4813
24,99,619,1320,539,1320,99,2577,3400,7137,0,0,1,0,0,-7137
25,0,0,498,288,498,0,786,2600,4586,0,0,1,0,0,-4586
26,0,349,185,1083,1083,0,1617,2600,5407,0,0,1,0,0,-5407
27,0,0,997,896,997,0,1893,3000,6103,0,0,1,0,0,-6103
28,0,129,1993,3988,3988,0,6110,2600,9940,0,0,1,0,0,-9940
29,0,155,1977,3968,3968,0,6100,2600,9940,0,0,1,0,0,-9940
30,0,238,917,3919,3919,0,5074,3400,9704,0,0,1,0,0,-9704
31,130,1681,4127,18762,18762,130,24700,3400,29320,0,0,1,0,0,-29320
32,0,0,179,1520,1520,0,1699,2600,5449,0,0,1,0,0,-5449
33,0,302,115,1172,1172,0,1589,3000,5749,0,0,1,0,0,-5749
34,0,327,1955,1286,1955,0,3568,2600,7338,0,0,1,0,0,-7338
35,0,1129,1389,461,1389,0,2979,3000,7169,0,0,1,0,0,-7169
36,0,334,1997,2295,2295,0,4626,2600,8406,0,0,1,0,0,-8406
37,0,246,580,982,982,0,1808,3000,6048,0,0,1,0,0,-6048
38,0,55,2152,661,2152,0,2868,2600,6668,0,0,1,0,0,-6668
39,0,74,2034,1132,2034,0,3240,2600,7060,0,0,1,0,0,-7060
40,0,41,424,877,877,0,1342,2200,4772,0,0,1,0,0,-4772
41,0,57,425,239,425,0,721,3000,4921,0,0,1,0,0,-4921
42,0,0,394,1448,1448,0,1842,2600,5632,0,0,1,0,0,-5632
43,0,29,372,1488,1488,0,1889,2600,5679,0,0,1,0,0,-5679
44,0,491,749,2076,2076,0,3316,2600,7116,0,0,1,0,0,-7116
45,0,250,1781,4537,4537,0,6568,2600,10388,0,0,1,0,0,-10388
46,0,256,218,2233,2233,0,2707,2600,6517,0,0,1,0,0,-6517
47,0,200,460,2036,2036,0,2696,2600,6526,0,0,1,0,0,-6526
48,0,347,411,3868,3868,0,4626,3000,8836,0,0,1,0,0,-8836
49,177,1811,4220,8620,8620,177,14828,3800,19818,0,0,1,0,0,-19818
50,0,390,2274,3709,3709,0,6373,3400,11013,0,0,1,0,0,-11013
51,0,457,820,3749,3749,0,5026,2600,8806,0,0,1,0,0,-8806
52,0,344,2075,5966,5966,0,8385,3400,13015,0,0,1,0,0,-13015
53,0,354,1998,2277,2277,0,4629,2600,8399,0,0,1,0,0,-8399
54,0,253,221,2086,2086,0,2560,2600,6330,0,0,1,0,0,-6330
55,0,494,1110,2975,2975,0,4579,3000,8779,0,0,1,0,0,-8779
