Sun Jan 22 00:34:05 JST 2023,,,,,,,,,,,,,,,
WPSCE-5000_SEED(9),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,771,1766,1766,0,2537,2600,6337,0,0,1,0,0,-6337
1,0,34,746,665,746,0,1445,2600,5255,0,0,1,0,0,-5255
2,0,158,756,897,897,0,1811,2600,5611,0,0,1,0,0,-5611
3,0,185,1494,1760,1760,0,3439,2600,7249,0,0,1,0,0,-7249
4,0,532,1666,3407,3407,0,5605,3800,10615,0,0,1,0,0,-10615
5,0,104,3612,7068,7068,0,10784,4200,16184,0,0,1,0,0,-16184
6,0,180,978,3480,3480,0,4638,2600,8408,0,0,1,0,0,-8408
7,0,5721,5732,9210,9210,0,20663,6200,28063,0,0,1,0,0,-28063
8,0,324,3325,7397,7397,0,11046,3400,15656,0,0,1,0,0,-15656
9,0,343,1844,4980,4980,0,7167,3400,11757,0,0,1,0,0,-11757
10,0,171,405,674,674,0,1250,2600,5060,0,0,1,0,0,-5060
11,0,552,1426,4596,4596,0,6574,3800,11594,0,0,1,0,0,-11594
12,0,590,1360,4448,4448,0,6398,3000,10628,0,0,1,0,0,-10628
13,0,182,1030,2187,2187,0,3399,2600,7169,0,0,1,0,0,-7169
14,0,185,1380,6623,6623,0,8188,3800,13218,0,0,1,0,0,-13218
15,0,0,317,1085,1085,0,1402,2600,5192,0,0,1,0,0,-5192
16,0,0,81,283,283,0,364,2200,3794,0,0,1,0,0,-3794
17,0,189,1079,502,1079,0,1770,2600,5560,0,0,1,0,0,-5560
18,0,39,0,1513,1513,0,1552,2200,4952,0,0,1,0,0,-4952
19,0,66,1074,1969,1969,0,3109,3400,7719,0,0,1,0,0,-7719
20,0,213,387,638,638,0,1238,2600,5038,0,0,1,0,0,-5038
21,0,235,1348,1881,1881,0,3464,2600,7234,0,0,1,0,0,-7234
22,0,72,71,1632,1632,0,1775,2200,5175,0,0,1,0,0,-5175
23,0,596,1406,4835,4835,0,6837,3000,11037,0,0,1,0,0,-11037
24,0,377,105,686,686,0,1168,2600,4968,0,0,1,0,0,-4968
25,0,358,1474,2878,2878,0,4710,3800,9680,0,0,1,0,0,-9680
26,0,190,862,956,956,0,2008,2600,5778,0,0,1,0,0,-5778
27,0,697,1121,3763,3763,0,5581,3000,9771,0,0,1,0,0,-9771
28,0,319,1603,2096,2096,0,4018,3400,8578,0,0,1,0,0,-8578
29,0,0,467,2602,2602,0,3069,3000,7279,0,0,1,0,0,-7279
30,0,385,1474,2054,2054,0,3913,2600,7733,0,0,1,0,0,-7733
31,0,422,577,1717,1717,0,2716,2600,6526,0,0,1,0,0,-6526
32,0,135,1499,2267,2267,0,3901,3400,8491,0,0,1,0,0,-8491
33,0,0,1564,3898,3898,0,5462,3000,9682,0,0,1,0,0,-9682
34,0,0,1264,520,1264,0,1784,2600,5614,0,0,1,0,0,-5614
35,0,428,161,3429,3429,0,4018,2600,7818,0,0,1,0,0,-7818
36,0,122,1760,2306,2306,0,4188,3000,8388,0,0,1,0,0,-8388
37,0,174,534,1837,1837,0,2545,3000,6745,0,0,1,0,0,-6745
38,0,584,2726,5199,5199,0,8509,3800,13499,0,0,1,0,0,-13499
39,0,419,565,437,565,0,1421,2600,5181,0,0,1,0,0,-5181
40,0,427,618,3457,3457,0,4502,2600,8282,0,0,1,0,0,-8282
41,0,156,638,474,638,0,1268,3000,5468,0,0,1,0,0,-5468
42,0,83,686,899,899,0,1668,2600,5468,0,0,1,0,0,-5468
43,0,191,1670,3944,3944,0,5805,3400,10435,0,0,1,0,0,-10435
44,0,37,1365,3347,3347,0,4749,4600,10519,0,0,1,0,0,-10519
45,0,141,917,3892,3892,0,4950,3400,9550,0,0,1,0,0,-9550
46,0,0,1155,5119,5119,0,6274,3400,10894,0,0,1,0,0,-10894
47,0,598,718,1776,1776,0,3092,2600,6862,0,0,1,0,0,-6862
48,0,0,24,366,366,0,390,2200,3800,0,0,1,0,0,-3800
49,0,176,657,3742,3742,0,4575,3000,8765,0,0,1,0,0,-8765
50,0,242,362,1322,1322,0,1926,3000,6146,0,0,1,0,0,-6146
51,0,612,1011,4508,4508,0,6131,2600,9931,0,0,1,0,0,-9931
52,132,0,988,1485,1485,0,2605,3000,6795,0,0,1,0,0,-6795
53,0,0,1361,1687,1687,0,3048,3000,7228,0,0,1,0,0,-7228
54,0,933,3458,7534,7534,0,11925,3800,16935,0,0,1,0,0,-16935
55,0,787,741,3076,3076,0,4604,5000,10784,0,0,1,0,0,-10784
56,0,218,298,1044,1044,0,1560,3000,5760,0,0,1,0,0,-5760
57,0,592,716,502,716,0,1810,2600,5580,0,0,1,0,0,-5580
58,0,177,734,1845,1845,0,2756,3000,6976,0,0,1,0,0,-6976
59,0,338,723,1883,1883,0,2944,3000,7134,0,0,1,0,0,-7134
60,0,282,446,2397,2397,0,3125,2600,6905,0,0,1,0,0,-6905
61,0,242,942,2199,2199,0,3383,3000,7623,0,0,1,0,0,-7623
62,0,595,724,1849,1849,0,3168,2600,6928,0,0,1,0,0,-6928
63,0,236,105,922,922,0,1263,3000,5473,0,0,1,0,0,-5473
64,0,187,1080,1398,1398,0,2665,3000,6845,0,0,1,0,0,-6845
65,0,989,3658,7373,7373,0,12020,3800,17020,0,0,1,0,0,-17020
66,0,599,700,2394,2394,0,3693,2600,7463,0,0,1,0,0,-7463
67,0,610,2031,5417,5417,0,8058,3000,12268,0,0,1,0,0,-12268
68,0,269,965,3589,3589,0,4823,3000,9033,0,0,1,0,0,-9033
69,0,291,1538,2552,2552,0,4381,2600,8221,0,0,1,0,0,-8221
70,0,601,837,4179,4179,0,5617,3800,10597,0,0,1,0,0,-10597
71,0,836,4442,2988,4442,0,8266,4600,14056,0,0,1,0,0,-14056
72,0,411,1291,3719,3719,0,5421,3000,9651,0,0,1,0,0,-9651
73,91,989,1102,4488,4488,91,6670,3400,11260,0,0,1,0,0,-11260
74,0,901,333,4487,4487,0,5721,3000,9941,0,0,1,0,0,-9941
75,0,76,792,434,792,0,1302,2600,5092,0,0,1,0,0,-5092
76,0,0,0,762,762,0,762,2600,4582,0,0,1,0,0,-4582
77,0,797,3658,2717,3658,0,7172,3800,12152,0,0,1,0,0,-12152
78,0,288,1556,2566,2566,0,4410,2600,8240,0,0,1,0,0,-8240
79,0,79,1249,2253,2253,0,3581,2600,7361,0,0,1,0,0,-7361
80,405,2247,5938,2764,5938,405,11354,4600,17134,0,0,1,0,0,-17134
81,0,0,663,869,869,0,1532,2600,5322,0,0,1,0,0,-5322
82,0,906,1544,3827,3827,0,6277,3400,10917,0,0,1,0,0,-10917
83,0,366,0,1469,1469,0,1835,3000,6045,0,0,1,0,0,-6045
84,0,2281,3135,4690,4690,0,10106,8600,19896,0,0,1,0,0,-19896
85,0,435,1392,1047,1392,0,2874,3800,7874,0,0,1,0,0,-7874
86,0,890,2814,5389,5389,0,9093,3000,13303,0,0,1,0,0,-13303
87,0,0,1511,1659,1659,0,3170,3000,7350,0,0,1,0,0,-7350
88,0,538,1102,3786,3786,0,5426,3000,9626,0,0,1,0,0,-9626
89,0,458,1195,2703,2703,0,4356,3800,9326,0,0,1,0,0,-9326
90,0,15,367,1015,1015,0,1397,3000,5617,0,0,1,0,0,-5617
91,0,55,1291,2219,2219,0,3565,2600,7355,0,0,1,0,0,-7355
92,0,294,245,2224,2224,0,2763,2600,6553,0,0,1,0,0,-6553
93,0,610,404,2072,2072,0,3086,4200,8456,0,0,1,0,0,-8456
94,0,71,1179,2822,2822,0,4072,4200,9452,0,0,1,0,0,-9452
95,0,625,2303,9423,9423,0,12351,4200,17781,0,0,1,0,0,-17781
96,0,493,636,752,752,0,1881,3400,6451,0,0,1,0,0,-6451
97,0,590,698,2459,2459,0,3747,2600,7507,0,0,1,0,0,-7507
98,0,593,758,2679,2679,0,4030,2600,7790,0,0,1,0,0,-7790
99,0,705,1111,4176,4176,0,5992,3400,10602,0,0,1,0,0,-10602
100,0,0,523,2225,2225,0,2748,3000,6938,0,0,1,0,0,-6938
101,0,0,159,795,795,0,954,2600,4784,0,0,1,0,0,-4784
102,0,34,182,1143,1143,0,1359,3000,5539,0,0,1,0,0,-5539
103,108,247,705,1906,1906,108,2966,2600,6786,0,0,1,0,0,-6786
104,0,78,776,1042,1042,0,1896,2600,5686,0,0,1,0,0,-5686
105,0,276,74,945,945,0,1295,3000,5465,0,0,1,0,0,-5465
106,119,718,202,1886,1886,119,2925,2600,6725,0,0,1,0,0,-6725
107,0,964,3624,7008,7008,0,11596,3000,15816,0,0,1,0,0,-15816
108,0,580,962,2208,2208,0,3750,2600,7570,0,0,1,0,0,-7570
109,0,525,955,1215,1215,0,2695,3800,7655,0,0,1,0,0,-7655
110,0,0,200,397,397,0,597,2200,4027,0,0,1,0,0,-4027
111,0,152,382,3518,3518,0,4052,2600,7862,0,0,1,0,0,-7862
112,71,0,733,2192,2192,0,2996,3000,7216,0,0,1,0,0,-7216
113,100,0,1277,2224,2224,0,3601,2600,7441,0,0,1,0,0,-7441
114,0,0,774,354,774,0,1128,2600,4918,0,0,1,0,0,-4918
115,0,749,1093,727,1093,0,2569,2600,6349,0,0,1,0,0,-6349
116,0,51,1192,2900,2900,0,4143,4200,9513,0,0,1,0,0,-9513
117,0,648,1505,3982,3982,0,6135,3800,11125,0,0,1,0,0,-11125
118,99,2891,2674,7841,7841,99,13505,5400,20125,0,0,1,0,0,-20125
119,100,354,994,1785,1785,100,3233,2600,7063,0,0,1,0,0,-7063
120,95,0,309,365,365,0,769,2200,4179,0,0,1,0,0,-4179
121,0,756,1176,3098,3098,0,5030,2600,8830,0,0,1,0,0,-8830
122,98,0,1869,4007,4007,0,5974,3400,10594,0,0,1,0,0,-10594
123,0,0,852,3478,3478,0,4330,2600,8140,0,0,1,0,0,-8140
124,0,117,619,3967,3967,0,4703,3000,8913,0,0,1,0,0,-8913
125,92,0,1872,4012,4012,0,5976,3400,10616,0,0,1,0,0,-10616
126,83,961,3909,7433,7433,83,12386,3800,17396,0,0,1,0,0,-17396
127,120,1050,2043,6784,6784,120,9997,4200,15447,0,0,1,0,0,-15447
128,0,1000,377,4341,4341,0,5718,3000,9898,0,0,1,0,0,-9898
129,0,1813,3089,7544,7544,0,12446,5800,19456,0,0,1,0,0,-19456
130,0,838,1023,2287,2287,0,4148,3000,8358,0,0,1,0,0,-8358
131,0,68,700,2455,2455,0,3223,3000,7413,0,0,1,0,0,-7413
132,187,713,1263,4840,4840,187,7003,2600,10813,0,0,1,0,0,-10813
133,196,0,1105,3651,3651,0,4952,3400,9572,0,0,1,0,0,-9572
134,0,736,1253,2240,2240,0,4229,2600,7979,0,0,1,0,0,-7979
135,0,219,2262,9572,9572,0,12053,4600,17873,0,0,1,0,0,-17873
136,0,0,603,1544,1544,0,2147,3000,6287,0,0,1,0,0,-6287
137,0,834,1385,4495,4495,0,6714,3400,11324,0,0,1,0,0,-11324
138,0,0,798,1069,1069,0,1867,2600,5637,0,0,1,0,0,-5637
139,253,1735,3434,5094,5094,253,10516,4200,15896,0,0,1,0,0,-15896
140,71,0,720,1380,1380,0,2171,2600,5961,0,0,1,0,0,-5961
141,0,811,1851,1604,1851,0,4266,3400,8866,0,0,1,0,0,-8866
142,169,101,25,1070,1070,25,1365,2600,5165,0,0,1,0,0,-5165
143,0,0,371,4073,4073,0,4444,3400,9024,0,0,1,0,0,-9024
144,0,729,1175,1989,1989,0,3893,3400,8443,0,0,1,0,0,-8443
145,55,8,2561,12358,12358,8,14982,5000,21222,0,0,1,0,0,-21222
146,73,87,116,3069,3069,73,3345,2600,7155,0,0,1,0,0,-7155
147,0,140,654,1064,1064,0,1858,2600,5638,0,0,1,0,0,-5638
148,59,1053,2144,1746,2144,59,5002,3800,10022,0,0,1,0,0,-10022
149,63,354,1119,2283,2283,63,3819,3000,7999,0,0,1,0,0,-7999
150,0,955,1522,4444,4444,0,6921,3400,11531,0,0,1,0,0,-11531
151,0,719,1336,2257,2257,0,4312,2600,8072,0,0,1,0,0,-8072
152,151,2142,3452,5635,5635,151,11380,4600,17170,0,0,1,0,0,-17170
153,0,847,2039,5631,5631,0,8517,3400,13117,0,0,1,0,0,-13117
154,0,294,735,3841,3841,0,4870,3400,9480,0,0,1,0,0,-9480
155,0,725,2519,2672,2672,0,5916,3000,10076,0,0,1,0,0,-10076
156,0,738,2670,1575,2670,0,4983,2600,8753,0,0,1,0,0,-8753
157,80,40,453,3776,3776,40,4349,3000,8589,0,0,1,0,0,-8589
158,0,0,1090,4211,4211,0,5301,3400,9891,0,0,1,0,0,-9891
