Sat Jan 21 19:17:11 JST 2023,,,,,,,,,,,,,,,
WPSCE-5000_SEED(2),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,403,684,684,0,1087,2600,4887,0,0,1,0,0,-4887
1,0,0,1627,1983,1983,0,3610,2600,7420,0,0,1,0,0,-7420
2,0,0,603,854,854,0,1457,2600,5247,0,0,1,0,0,-5247
3,0,34,2771,1716,2771,0,4521,3000,8731,0,0,1,0,0,-8731
4,0,401,5520,2803,5520,0,8724,3000,12904,0,0,1,0,0,-12904
5,0,0,585,687,687,0,1272,2600,5092,0,0,1,0,0,-5092
6,0,0,1319,732,1319,0,2051,2600,5831,0,0,1,0,0,-5831
7,130,0,629,2113,2113,0,2872,3000,7072,0,0,1,0,0,-7072
8,0,0,366,879,879,0,1245,2600,5045,0,0,1,0,0,-5045
9,0,0,0,411,411,0,411,2600,4191,0,0,1,0,0,-4191
10,0,0,0,1139,1139,0,1139,2600,4949,0,0,1,0,0,-4949
11,0,332,316,2036,2036,0,2684,2600,6464,0,0,1,0,0,-6464
12,0,183,618,1694,1694,0,2495,3000,6735,0,0,1,0,0,-6735
13,0,0,366,2300,2300,0,2666,3000,6886,0,0,1,0,0,-6886
14,0,0,604,2041,2041,0,2645,2600,6465,0,0,1,0,0,-6465
15,0,159,0,1309,1309,0,1468,2600,5288,0,0,1,0,0,-5288
16,0,0,467,2355,2355,0,2822,3000,7062,0,0,1,0,0,-7062
17,0,188,1597,2364,2364,0,4149,2600,7959,0,0,1,0,0,-7959
18,0,0,1151,2335,2335,0,3486,3000,7676,0,0,1,0,0,-7676
19,0,0,1493,3660,3660,0,5153,3800,10163,0,0,1,0,0,-10163
20,0,228,669,1737,1737,0,2634,3000,6874,0,0,1,0,0,-6874
21,0,0,672,332,672,0,1004,2600,4804,0,0,1,0,0,-4804
22,0,0,1445,2033,2033,0,3478,2600,7288,0,0,1,0,0,-7288
23,0,352,5542,7115,7115,0,13009,3000,17249,0,0,1,0,0,-17249
24,0,0,367,842,842,0,1209,2600,4979,0,0,1,0,0,-4979
25,0,0,128,738,738,0,866,2600,4666,0,0,1,0,0,-4666
26,0,143,3569,2895,3569,0,6607,3000,10817,0,0,1,0,0,-10817
27,0,0,341,876,876,0,1217,2600,5007,0,0,1,0,0,-5007
28,0,0,0,526,526,0,526,2600,4306,0,0,1,0,0,-4306
29,0,0,530,2331,2331,0,2861,3000,7081,0,0,1,0,0,-7081
30,0,0,1462,896,1462,0,2358,2600,6118,0,0,1,0,0,-6118
31,0,0,603,541,603,0,1144,3000,5344,0,0,1,0,0,-5344
32,0,236,109,2288,2288,0,2633,3000,6843,0,0,1,0,0,-6843
33,0,0,721,981,981,0,1702,3400,6272,0,0,1,0,0,-6272
34,0,0,417,880,880,0,1297,2200,4707,0,0,1,0,0,-4707
35,0,0,1476,2151,2151,0,3627,2600,7407,0,0,1,0,0,-7407
36,0,0,363,862,862,0,1225,2600,4985,0,0,1,0,0,-4985
37,0,0,745,2388,2388,0,3133,2600,6953,0,0,1,0,0,-6953
38,0,0,0,725,725,0,725,3000,4895,0,0,1,0,0,-4895
39,0,418,201,844,844,0,1463,2600,5313,0,0,1,0,0,-5313
40,0,421,216,1479,1479,0,2116,2600,5906,0,0,1,0,0,-5906
41,0,0,0,714,714,0,714,3000,4894,0,0,1,0,0,-4894
42,0,0,655,858,858,0,1513,2600,5333,0,0,1,0,0,-5333
43,0,426,0,2113,2113,0,2539,3000,6719,0,0,1,0,0,-6719
44,0,0,1766,3899,3899,0,5665,3800,10655,0,0,1,0,0,-10655
45,0,436,188,355,436,0,979,2600,4799,0,0,1,0,0,-4799
46,0,0,789,1258,1258,0,2047,2600,5867,0,0,1,0,0,-5867
47,0,1101,3093,5009,5009,0,9203,3000,13443,0,0,1,0,0,-13443
48,0,442,860,2130,2130,0,3432,2600,7292,0,0,1,0,0,-7292
49,0,33,19,1282,1282,0,1334,2600,5144,0,0,1,0,0,-5144
50,0,0,4,494,494,0,498,2600,4268,0,0,1,0,0,-4268
51,0,0,314,892,892,0,1206,2600,4986,0,0,1,0,0,-4986
52,0,1169,395,1941,1941,0,3505,2600,7345,0,0,1,0,0,-7345
53,0,468,370,812,812,0,1650,2600,5470,0,0,1,0,0,-5470
54,0,71,305,1008,1008,0,1384,3000,5594,0,0,1,0,0,-5594
55,0,0,0,650,650,0,650,2600,4420,0,0,1,0,0,-4420
56,0,82,1581,1215,1581,0,2878,2600,6628,0,0,1,0,0,-6628
57,204,65,306,950,950,65,1525,3000,5745,0,0,1,0,0,-5745
