Thu Jan 19 10:57:23 JST 2023,,,,,,,,,,,,,,,
WSCE-10000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,117,630,3865,3865,0,4612,2600,8392,0.454321562,0.149501636,0,0,0.396176802,-952.8119581
1,0,92,3074,2760,3074,0,5926,2600,9726,0.371615414,0.403419526,0,0,0.224965059,-2559.541121
2,0,164,2802,15753,15753,0,18719,3000,22919,0.171255076,0.437860458,0,0,0.390884466,1638.297856
3,319,3571,8190,4629,8190,319,16709,5000,22879,0.699761335,0.204411498,0,0,0.095827167,-11960.11401
4,0,851,3361,16487,16487,0,20699,2600,24529,0.204585325,0.03242923,0,0,0.762985445,8260.31339
5,0,481,1643,5433,5433,0,7557,3400,12167,0.569313056,0.061678302,0,0,0.369008642,-2507.181039
6,0,121,682,5498,5498,0,6301,3000,10491,0.188626273,0.356461174,0,0,0.454912554,243.1915553
7,0,516,3914,3807,3914,0,8237,3000,12407,0.247750598,0.379452566,0,0,0.372796836,-1719.952558
8,0,840,1341,5629,5629,0,7810,3400,12400,0.374411101,0.384303175,0,0,0.241285724,-2872.584158
9,0,6739,10252,2700,10252,0,19691,4600,25481,0.805612293,0.11998152,0,0,0.074406187,-15652.41442
10,0,481,1329,5453,5453,0,7263,3800,12213,0.405045339,0.298993518,0,0,0.295961143,-2464.143559
11,0,866,3427,16722,16722,0,21015,2600,24845,0.234532297,0.75812225,0,0,0.007345453,-6776.983416
12,0,298,2663,12538,12538,0,15499,2600,19329,0.094239392,0.459240345,0,0,0.446520263,2943.829812
13,0,494,1783,11305,11305,0,13582,2600,17362,0.318675666,0.360279309,0,0,0.321045025,-1635.565099
14,0,314,1051,3551,3551,0,4916,3000,9076,0.607033125,0.177366939,0,0,0.215599936,-2750.680284
15,0,674,2890,15787,15787,0,19351,3000,23571,0.54899621,0.006215088,0,0,0.444788701,-3620.391705
16,0,1673,3790,8158,8158,0,13621,3000,17801,0.45498861,0.420406082,0,0,0.124605308,-6442.088001
17,0,1688,4611,6103,6103,0,12402,4200,17772,0.449365656,0.54246503,0,0,0.008169315,-7801.528657
18,0,461,1319,11588,11588,0,13368,3400,17938,0.193803552,0.419751887,0,0,0.386444561,460.1972787
19,0,855,3895,20711,20711,0,25461,2600,29311,0.48536203,0.431441819,0,0,0.083196151,-11756.47589
20,0,29,2029,12253,12253,0,14311,2600,18121,0.407015081,0.306421916,0,0,0.286563003,-3110.233322
21,0,530,3704,3990,3990,0,8224,3400,12794,0.470982272,0.25846018,0,0,0.270557548,-3672.598202
22,0,177,879,5930,5930,0,6986,2600,10776,0.3634303,0.213855671,0,0,0.422714029,-588.2546247
23,0,544,3728,3988,3988,0,8260,3400,12850,0.707681288,0.257809056,0,0,0.034509656,-6584.373723
24,0,2661,5573,30601,30601,0,38835,3400,43425,0.122558968,0.049807404,0,0,0.827633628,20397.49397
25,0,670,3000,3007,3007,0,6677,2600,10457,0.356220187,0.362511912,0,0,0.2812679,-2475.240587
26,0,504,1347,13048,13048,0,14899,3800,19859,0.470318317,0.239686616,0,0,0.289995067,-4134.226115
