Thu Jan 19 10:29:28 JST 2023,,,,,,,,,,,,,,,
WSCE-10000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,896,1393,3241,3241,0,5530,2600,9310,0,0,1,0,0,-9310
1,0,0,5408,3191,5408,0,8599,2600,12399,0,0,1,0,0,-12399
2,0,908,1439,7688,7688,0,10035,2600,13835,0,0,1,0,0,-13835
3,0,2726,4326,5465,5465,0,12517,4600,18287,0,0,1,0,0,-18287
4,0,160,6177,6619,6619,0,12956,3000,17186,0,0,1,0,0,-17186
5,0,2786,3597,7447,7447,0,13830,3800,18840,0,0,1,0,0,-18840
6,0,1629,2191,4308,4308,0,8128,2600,11918,0,0,1,0,0,-11918
7,0,670,631,6188,6188,0,7489,3400,12059,0,0,1,0,0,-12059
8,0,1132,2613,2299,2613,0,6044,2600,9834,0,0,1,0,0,-9834
9,0,2507,3776,4347,4347,0,10630,3400,15220,0,0,1,0,0,-15220
10,0,897,765,3281,3281,0,4943,3400,9493,0,0,1,0,0,-9493
11,0,2766,7801,35290,35290,0,45857,3400,50487,0,0,1,0,0,-50487
12,0,1137,6266,7675,7675,0,15078,2600,18908,0,0,1,0,0,-18908
13,0,901,1597,6832,6832,0,9330,2600,13110,0,0,1,0,0,-13110
14,0,160,1216,1243,1243,0,2619,3000,6779,0,0,1,0,0,-6779
15,0,1873,5003,7054,7054,0,13930,3000,18150,0,0,1,0,0,-18150
16,0,2774,3279,6541,6541,0,12594,3000,16774,0,0,1,0,0,-16774
17,0,2782,4397,5574,5574,0,12753,4600,18523,0,0,1,0,0,-18523
18,0,670,7637,5566,7637,0,13873,2600,17643,0,0,1,0,0,-17643
19,0,1160,6252,32480,32480,0,39892,2600,43742,0,0,1,0,0,-43742
20,0,0,6400,12431,12431,0,18831,4200,24241,0,0,1,0,0,-24241
21,0,673,3079,4964,4964,0,8716,3000,12886,0,0,1,0,0,-12886
22,0,62,2433,2143,2433,0,4638,3000,8828,0,0,1,0,0,-8828
23,0,913,746,5623,5623,0,7282,2600,11072,0,0,1,0,0,-11072
24,0,896,1433,7971,7971,0,10300,3400,14890,0,0,1,0,0,-14890
25,0,902,9282,5700,9282,0,15884,2600,19664,0,0,1,0,0,-19664
26,0,288,2440,2289,2440,0,5017,3400,9577,0,0,1,0,0,-9577
27,0,1321,18682,4637,18682,0,24640,3400,29230,0,0,1,0,0,-29230
28,0,76,3781,4445,4445,0,8302,2600,12092,0,0,1,0,0,-12092
29,0,442,2847,4076,4076,0,7365,2600,11155,0,0,1,0,0,-11155
30,0,0,5671,14248,14248,0,19919,2600,23749,0,0,1,0,0,-23749
31,0,0,902,956,956,0,1858,2600,5638,0,0,1,0,0,-5638
32,0,917,9364,8167,9364,0,18448,3000,22648,0,0,1,0,0,-22648
33,0,379,12909,5598,12909,0,18886,4600,24686,0,0,1,0,0,-24686
34,0,1863,2101,4399,4399,0,8363,2600,12163,0,0,1,0,0,-12163
35,940,2532,18875,20425,20425,940,42772,3800,47802,0,0,1,0,0,-47802
36,0,2788,3290,6966,6966,0,13044,3400,17634,0,0,1,0,0,-17634
37,0,0,5670,3282,5670,0,8952,2600,12752,0,0,1,0,0,-12752
38,0,303,2554,15910,15910,0,18767,2600,22567,0,0,1,0,0,-22567
39,231,1325,985,4057,4057,231,6598,3000,10808,0,0,1,0,0,-10808
40,0,1860,2632,9931,9931,0,14423,2600,18243,0,0,1,0,0,-18243
41,0,1463,2407,5411,5411,0,9281,3400,13881,0,0,1,0,0,-13881
42,0,391,12899,5609,12899,0,18899,4600,24699,0,0,1,0,0,-24699
43,0,1136,1789,16140,16140,0,19065,2600,22865,0,0,1,0,0,-22865
44,0,369,3565,13010,13010,0,16944,3800,21934,0,0,1,0,0,-21934
45,0,410,2769,16876,16876,0,20055,2600,23855,0,0,1,0,0,-23855
46,0,1210,2532,10967,10967,0,14709,2600,18539,0,0,1,0,0,-18539
47,0,0,2455,2131,2455,0,4586,3000,8786,0,0,1,0,0,-8786
48,0,0,2885,4054,4054,0,6939,2600,10749,0,0,1,0,0,-10749
49,0,1408,1841,9034,9034,0,12283,2200,15733,0,0,1,0,0,-15733
