Tue Jan 17 04:12:09 JST 2023,,,,,,,,,,,,,,,
WSCE-5000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,585,2016,6663,6663,0,9264,4200,14644,0,0,0,0,1,6663
1,0,0,568,1018,1018,0,1586,2600,5386,0,0,0,0,1,1018
2,0,329,1635,5218,5218,0,7182,3400,11782,0,0,0,0,1,5218
3,0,114,813,1305,1305,0,2232,3400,6802,0,0,0,0,1,1305
4,0,220,1364,4064,4064,0,5648,3800,10678,0,0,0,0,1,4064
5,0,412,3584,4074,4074,0,8070,5400,14680,0,0,0,0,1,4074
6,0,116,245,1242,1242,0,1603,3400,6193,0,0,0,0,1,1242
7,0,0,300,852,852,0,1152,2600,4922,0,0,0,0,1,852
8,0,112,837,1339,1339,0,2288,3400,6878,0,0,0,0,1,1339
9,0,43,953,2991,2991,0,3987,4200,9377,0,0,0,0,1,2991
10,0,51,832,2367,2367,0,3250,4200,8600,0,0,0,0,1,2367
11,29,334,1189,4098,4098,29,5650,3400,10280,0,0,0,0,1,4069
12,0,0,470,1970,1970,0,2440,3000,6670,0,0,0,0,1,1970
13,0,141,499,1491,1491,0,2131,3000,6311,0,0,0,0,1,1491
14,0,80,277,1595,1595,0,1952,3400,6512,0,0,0,0,1,1595
15,0,105,395,1512,1512,0,2012,3000,6232,0,0,0,0,1,1512
16,0,0,400,1850,1850,0,2250,3000,6430,0,0,0,0,1,1850
17,0,595,2119,5883,5883,0,8597,4200,13967,0,0,0,0,1,5883
18,0,0,567,934,934,0,1501,2600,5271,0,0,0,0,1,934
19,0,453,2070,6655,6655,0,9178,3800,14228,0,0,0,0,1,6655
20,0,279,813,2337,2337,0,3429,3800,8439,0,0,0,0,1,2337
21,0,149,710,3611,3611,0,4470,3000,8640,0,0,0,0,1,3611
22,0,101,1074,4949,4949,0,6124,3800,11114,0,0,0,0,1,4949
23,0,0,1419,4982,4982,0,6401,4200,11791,0,0,0,0,1,4982
24,0,334,981,2532,2532,0,3847,3400,8437,0,0,0,0,1,2532
25,0,0,235,1184,1184,0,1419,2600,5199,0,0,0,0,1,1184
26,0,0,665,1301,1301,0,1966,3400,6526,0,0,0,0,1,1301
27,0,286,1239,3142,3142,0,4667,3800,9657,0,0,0,0,1,3142
28,0,47,278,549,549,0,874,2600,4664,0,0,0,0,1,549
29,0,0,284,807,807,0,1091,2600,4881,0,0,0,0,1,807
30,0,310,506,1934,1934,0,2750,3000,6980,0,0,0,0,1,1934
31,0,0,556,1154,1154,0,1710,3000,5890,0,0,0,0,1,1154
32,0,0,289,1200,1200,0,1489,2600,5289,0,0,0,0,1,1200
33,0,15,833,3188,3188,0,4036,3400,8636,0,0,0,0,1,3188
34,0,518,1529,3474,3474,0,5521,3800,10521,0,0,0,0,1,3474
35,0,167,1116,3353,3353,0,4636,4200,10066,0,0,0,0,1,3353
36,366,1559,2730,3957,3957,366,8612,4600,14402,0,0,0,0,1,3591
37,0,287,1637,1906,1906,0,3830,3800,8830,0,0,0,0,1,1906
38,0,215,1266,4012,4012,0,5493,3400,10093,0,0,0,0,1,4012
39,0,139,415,2230,2230,0,2784,3400,7394,0,0,0,0,1,2230
40,0,263,1446,5639,5639,0,7348,4200,12768,0,0,0,0,1,5639
41,0,0,1005,2658,2658,0,3663,4200,9063,0,0,0,0,1,2658
42,0,267,820,3545,3545,0,4632,3400,9232,0,0,0,0,1,3545
43,0,301,357,1931,1931,0,2589,3400,7189,0,0,0,0,1,1931
44,0,0,318,2702,2702,0,3020,3000,7210,0,0,0,0,1,2702
45,0,360,1405,4645,4645,0,6410,3400,11010,0,0,0,0,1,4645
46,143,912,2239,7574,7574,143,10868,3800,15898,0,0,0,0,1,7431
47,0,0,366,2076,2076,0,2442,2600,6242,0,0,0,0,1,2076
48,0,0,937,1810,1810,0,2747,3400,7357,0,0,0,0,1,1810
49,0,362,860,4215,4215,0,5437,3000,9687,0,0,0,0,1,4215
50,0,310,422,2330,2330,0,3062,3400,7692,0,0,0,0,1,2330
51,0,390,1886,5089,5089,0,7365,5400,13955,0,0,0,0,1,5089
52,0,0,360,1418,1418,0,1778,3000,5958,0,0,0,0,1,1418
53,0,0,458,2041,2041,0,2499,3000,6699,0,0,0,0,1,2041
54,0,196,611,918,918,0,1725,3000,5895,0,0,0,0,1,918
55,0,1647,1128,5573,5573,0,8348,5000,14548,0,0,0,0,1,5573
56,0,497,697,3889,3889,0,5083,3400,9713,0,0,0,0,1,3889
57,0,672,3921,1718,3921,0,6311,5400,12891,0,0,0,0,1,3921
58,0,1218,3758,8296,8296,0,13272,5400,19862,0,0,0,0,1,8296
59,0,0,2372,5227,5227,0,7599,5400,14209,0,0,0,0,1,5227
60,0,206,1120,4135,4135,0,5461,3800,10451,0,0,0,0,1,4135
61,0,0,315,1275,1275,0,1590,3400,6200,0,0,0,0,1,1275
62,0,362,1585,2416,2416,0,4363,3000,8603,0,0,0,0,1,2416
63,0,0,448,2155,2155,0,2603,3000,6813,0,0,0,0,1,2155
64,0,727,1652,6519,6519,0,8898,4200,14298,0,0,0,0,1,6519
65,0,246,516,2101,2101,0,2863,3400,7473,0,0,0,0,1,2101
66,0,137,529,2402,2402,0,3068,3800,8028,0,0,0,0,1,2402
67,0,241,1513,5585,5585,0,7339,4200,12759,0,0,0,0,1,5585
68,0,0,573,1317,1317,0,1890,3000,6100,0,0,0,0,1,1317
69,0,0,7,949,949,0,956,3000,5146,0,0,0,0,1,949
70,107,997,4733,4768,4768,107,10605,5000,16805,0,0,0,0,1,4661
71,0,0,1077,4846,4846,0,5923,3800,10923,0,0,0,0,1,4846
72,0,2394,7462,209,7462,0,10065,6200,17465,0,0,0,0,1,7462
73,0,113,635,1468,1468,0,2216,3000,6406,0,0,0,0,1,1468
74,0,61,976,3111,3111,0,4148,4200,9518,0,0,0,0,1,3111
75,0,0,291,1997,1997,0,2288,2600,6068,0,0,0,0,1,1997
76,0,138,498,3115,3115,0,3751,3000,7931,0,0,0,0,1,3115
77,0,335,1040,4114,4114,0,5489,3800,10519,0,0,0,0,1,4114
78,0,51,612,1908,1908,0,2571,3400,7161,0,0,0,0,1,1908
79,0,906,5142,4408,5142,0,10456,5800,17466,0,0,0,0,1,5142
80,422,1043,3586,10293,10293,422,15344,4600,21124,0,0,0,0,1,9871
81,0,0,557,1601,1601,0,2158,3000,6358,0,0,0,0,1,1601
82,0,207,565,1868,1868,0,2640,3000,6820,0,0,0,0,1,1868
83,0,1505,1165,5929,5929,0,8599,5400,15199,0,0,0,0,1,5929
84,0,0,914,2694,2694,0,3608,3800,8618,0,0,0,0,1,2694
85,0,1493,3481,7433,7433,0,12407,4600,18227,0,0,0,0,1,7433
86,0,856,1208,6997,6997,0,9061,7000,17261,0,0,0,0,1,6997
87,0,802,3945,7934,7934,0,12681,4600,18461,0,0,0,0,1,7934
88,0,346,1588,4735,4735,0,6669,3800,11719,0,0,0,0,1,4735
89,0,1400,5261,1159,5261,0,7820,5000,13980,0,0,0,0,1,5261
90,0,1563,1174,5972,5972,0,8709,5400,15319,0,0,0,0,1,5972
91,0,820,1259,5475,5475,0,7554,4200,12944,0,0,0,0,1,5475
92,0,1593,3604,4755,4755,0,9952,5800,16922,0,0,0,0,1,4755
93,0,20,530,1224,1224,0,1774,3000,6024,0,0,0,0,1,1224
94,0,68,272,1140,1140,0,1480,2600,5300,0,0,0,0,1,1140
95,0,22,202,1717,1717,0,1941,2200,5391,0,0,0,0,1,1717
96,0,249,417,1452,1452,0,2118,2600,5928,0,0,0,0,1,1452
97,0,851,1687,2733,2733,0,5271,4600,11041,0,0,0,0,1,2733
