Tue Jan 17 04:22:25 JST 2023,,,,,,,,,,,,,,,
WSCE-5000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,766,30,0,766,0,796,3400,5376,0,0,0,1,0,-766
1,0,0,2485,6202,6202,0,8687,3400,13287,0,0,0,1,0,-6202
2,0,771,3461,0,3461,0,4232,3800,9232,0,0,0,1,0,-3461
3,0,49,3041,0,3041,0,3090,4200,8460,0,0,0,1,0,-3041
4,0,788,3574,0,3574,0,4362,3800,9392,0,0,0,1,0,-3574
5,0,570,1253,5114,5114,0,6937,3800,11947,0,0,0,1,0,-5114
6,0,102,0,0,102,0,102,2600,3892,0,0,0,1,0,-102
7,0,167,2461,0,2461,0,2628,5000,8798,0,0,0,1,0,-2461
8,0,666,3463,9037,9037,0,13166,3800,18156,0,0,0,1,0,-9037
9,0,0,0,0,0,0,0,3000,4190,0,0,0,1,0,0
10,0,19,2322,6383,6383,0,8724,3800,13674,0,0,0,1,0,-6383
11,0,886,3711,0,3711,0,4597,3800,9627,0,0,0,1,0,-3711
12,0,0,294,72,294,0,366,2600,4196,0,0,0,1,0,-294
13,0,136,0,0,136,0,136,3400,4716,0,0,0,1,0,-136
14,0,0,46,41,46,0,87,3400,4647,0,0,0,1,0,-46
15,0,0,93,0,93,0,93,3400,4713,0,0,0,1,0,-93
16,0,0,0,2597,2597,0,2597,3000,6777,0,0,0,1,0,-2597
17,0,124,191,52,191,0,367,3800,5337,0,0,0,1,0,-191
18,0,0,1010,694,1010,0,1704,2600,5474,0,0,0,1,0,-1010
19,0,1563,5215,12033,12033,0,18811,3800,23861,0,0,0,1,0,-12033
20,0,46,3137,0,3137,0,3183,4600,8993,0,0,0,1,0,-3137
21,0,0,1992,5068,5068,0,7060,3000,11230,0,0,0,1,0,-5068
22,0,0,3567,0,3567,0,3567,4600,9357,0,0,0,1,0,-3567
23,0,0,2566,6754,6754,0,9320,3400,13910,0,0,0,1,0,-6754
24,0,231,0,0,231,0,231,4200,5621,0,0,0,1,0,-231
25,0,111,64,2349,2349,0,2524,2600,6304,0,0,0,1,0,-2349
26,0,0,1202,0,1202,0,1202,5000,7362,0,0,0,1,0,-1202
27,0,3673,9719,0,9719,0,13392,5800,20382,0,0,0,1,0,-9719
28,0,0,263,0,263,0,263,2600,4053,0,0,0,1,0,-263
29,0,141,0,0,141,0,141,3000,4331,0,0,0,1,0,-141
30,0,683,0,0,683,0,683,3000,4913,0,0,0,1,0,-683
31,0,0,4492,0,4492,0,4492,5800,11472,0,0,0,1,0,-4492
32,0,162,929,0,929,0,1091,3000,5291,0,0,0,1,0,-929
33,0,129,3302,8589,8589,0,12020,4200,17420,0,0,0,1,0,-8589
34,0,153,0,2764,2764,0,2917,2600,6717,0,0,0,1,0,-2764
35,0,153,2232,0,2232,0,2385,3400,7015,0,0,0,1,0,-2232
36,0,782,2274,7513,7513,0,10569,3800,15559,0,0,0,1,0,-7513
37,0,158,119,0,158,0,277,3800,5277,0,0,0,1,0,-158
38,0,0,2502,0,2502,0,2502,3800,7502,0,0,0,1,0,-2502
39,0,50,0,0,50,0,50,3800,5060,0,0,0,1,0,-50
40,0,44,1992,0,1992,0,2036,3800,7056,0,0,0,1,0,-1992
41,0,161,86,0,161,0,247,3800,5247,0,0,0,1,0,-161
42,0,4349,10649,9949,10649,0,24947,5800,31947,0,0,0,1,0,-10649
43,0,1789,4617,12061,12061,0,18467,5000,24667,0,0,0,1,0,-12061
44,0,0,0,3207,3207,0,3207,3000,7397,0,0,0,1,0,-3207
45,0,1221,23,5603,5603,0,6847,3800,11847,0,0,0,1,0,-5603
46,0,1029,4297,10156,10156,0,15482,3800,20512,0,0,0,1,0,-10156
47,0,0,1677,4170,4170,0,5847,2600,9647,0,0,0,1,0,-4170
48,0,0,0,0,0,0,0,3400,4610,0,0,0,1,0,0
49,0,871,3815,9748,9748,0,14434,3800,19484,0,0,0,1,0,-9748
50,0,2405,6428,217,6428,0,9050,4200,14480,0,0,0,1,0,-6428
51,0,0,0,0,0,0,0,4600,5790,0,0,0,1,0,0
52,0,166,0,0,166,0,166,3000,4346,0,0,0,1,0,-166
53,0,0,3617,0,3617,0,3617,5000,9817,0,0,0,1,0,-3617
54,0,155,94,0,155,0,249,2600,4019,0,0,0,1,0,-155
55,0,881,5593,0,5593,0,6474,5400,13074,0,0,0,1,0,-5593
56,0,982,0,361,982,0,1343,3800,6373,0,0,0,1,0,-982
57,0,2299,6409,11500,11500,0,20208,5000,26388,0,0,0,1,0,-11500
58,0,0,106,0,106,0,106,4600,5896,0,0,0,1,0,-106
59,0,2872,7977,0,7977,0,10849,5400,17459,0,0,0,1,0,-7977
60,0,0,65,0,65,0,65,2600,3855,0,0,0,1,0,-65
61,0,410,0,0,410,0,410,5000,6620,0,0,0,1,0,-410
62,0,223,3068,7568,7568,0,10859,3400,15499,0,0,0,1,0,-7568
63,0,1141,3996,10939,10939,0,16076,4200,21486,0,0,0,1,0,-10939
64,0,2352,6220,11718,11718,0,20290,4600,26090,0,0,0,1,0,-11718
65,0,232,1120,4649,4649,0,6001,3000,10211,0,0,0,1,0,-4649
66,0,0,477,0,477,0,477,3000,4637,0,0,0,1,0,-477
67,0,2396,6732,0,6732,0,9128,5000,15348,0,0,0,1,0,-6732
68,0,0,0,13,13,0,13,3800,5023,0,0,0,1,0,-13
69,0,108,0,0,108,0,108,3000,4298,0,0,0,1,0,-108
70,0,1435,4328,11092,11092,0,16855,3800,21855,0,0,0,1,0,-11092
71,0,877,2609,0,2609,0,3486,4200,8886,0,0,0,1,0,-2609
72,0,452,2363,8225,8225,0,11040,4200,16440,0,0,0,1,0,-8225
73,0,152,148,0,152,0,300,3800,5290,0,0,0,1,0,-152
74,0,56,3873,0,3873,0,3929,4600,9699,0,0,0,1,0,-3873
75,0,877,1235,5310,5310,0,7422,3400,12002,0,0,0,1,0,-5310
76,0,0,2194,0,2194,0,2194,3800,7174,0,0,0,1,0,-2194
77,0,94,2423,6130,6130,0,8647,3400,13277,0,0,0,1,0,-6130
78,0,107,127,0,127,0,234,2600,4024,0,0,0,1,0,-127
79,0,912,0,0,912,0,912,3000,5122,0,0,0,1,0,-912
80,0,1485,5938,0,5938,0,7423,5400,14003,0,0,0,1,0,-5938
81,0,0,1891,0,1891,0,1891,3400,6491,0,0,0,1,0,-1891
82,0,0,644,0,644,0,644,3000,4824,0,0,0,1,0,-644
83,0,877,450,0,877,0,1327,3800,6327,0,0,0,1,0,-877
84,0,860,4438,11445,11445,0,16743,4200,22153,0,0,0,1,0,-11445
85,0,0,2969,7404,7404,0,10373,4200,15793,0,0,0,1,0,-7404
86,638,3341,0,0,3341,0,3979,5000,10179,0,0,0,1,0,-3341
87,0,2752,6975,0,6975,0,9727,4600,15507,0,0,0,1,0,-6975
88,5332,12011,605,1512,12011,605,19460,8200,28910,0,0,0,1,0,-11406
89,0,2021,6088,0,6088,0,8109,5000,14269,0,0,0,1,0,-6088
90,0,1634,4149,0,4149,0,5783,3800,10793,0,0,0,1,0,-4149
91,0,103,2319,5747,5747,0,8169,3000,12359,0,0,0,1,0,-5747
92,0,489,4216,10924,10924,0,15629,4600,21399,0,0,0,1,0,-10924
