Tue Jan 17 04:35:15 JST 2023,,,,,,,,,,,,,,,
WSCE-5000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,144,1390,1390,0,1534,2600,5314,0.396176802,0.454321562,0,0,0.149501636,-1581.164001
1,0,0,576,3924,3924,0,4500,3400,9100,0.224965059,0.371615414,0,0,0.403419526,-692.816954
2,0,0,618,1044,1044,0,1662,2600,5462,0.390884466,0.171255076,0,0,0.437860458,-637.7868624
3,0,26,1132,770,1132,0,1928,3000,6098,0.095827167,0.699761335,0,0,0.204411498,-2052.644969
4,0,0,933,2710,2710,0,3643,3000,7873,0.762985445,0.204585325,0,0,0.03242923,-3305.428739
5,0,5,757,909,909,0,1671,2600,5481,0.369008642,0.569313056,0,0,0.061678302,-2040.76181
6,0,40,354,1084,1084,0,1478,3000,5668,0.454912554,0.188626273,0,0,0.356461174,-851.8356603
7,0,77,821,794,821,0,1692,2600,5462,0.372796836,0.247750598,0,0,0.379452566,-963.3932433
8,0,45,583,2018,2018,0,2646,2600,6436,0.241285724,0.374411101,0,0,0.384303175,-836.3870799
9,0,99,895,5325,5325,0,6319,3000,10509,0.074406187,0.805612293,0,0,0.11998152,-2248.107977
10,0,532,1684,1847,1847,0,4063,3000,8213,0.295961143,0.405045339,0,0,0.298993518,-1865.385113
11,289,736,2297,4939,4939,289,8261,3800,13291,0.007345453,0.234532297,0,0,0.75812225,2573.364946
12,0,0,480,1897,1897,0,2377,2600,6207,0.446520263,0.094239392,0,0,0.459240345,-435.2221506
13,0,0,223,1419,1419,0,1642,2600,5422,0.321045025,0.318675666,0,0,0.360279309,-844.4763247
14,0,0,643,705,705,0,1348,2600,5108,0.215599936,0.607033125,0,0,0.177366939,-1743.871146
15,0,111,772,2269,2269,0,3152,2600,6972,0.444788701,0.54899621,0,0,0.006215088,-2815.262097
16,0,778,994,4175,4175,0,5947,3800,10927,0.124605308,0.45498861,0,0,0.420406082,-714.7890905
17,0,628,798,4291,4291,0,5717,4600,11487,0.008169315,0.449365656,0,0,0.54246503,213.9314539
18,0,0,888,827,888,0,1715,2600,5485,0.386444561,0.193803552,0,0,0.419751887,-793.9019828
