Tue Jan 17 13:12:14 JST 2023,,,,,,,,,,,,,,,,,,
WSCE-5000_SEED(0),,,,,,,,,,,,,,,W-SCE,SCE,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,utility,W-SCEÇ≈è„è∏Ç∑ÇÈå¯óp,
0,0,0,622,602,622,0,1224,2600,5004,0.454321562,0.149501636,0,0,0.396176802,-698.3718747,-716.9033923,18.53151757,
1,0,0,1060,730,1060,0,1790,2600,5590,0.371615414,0.403419526,0,0,0.224965059,-1475.619397,-1712.870096,237.2506991,
2,0,222,1310,3164,3164,0,4696,3000,8896,0.171255076,0.437860458,0,0,0.390884466,-881.0367589,-1013.249938,132.2131794,
3,0,0,575,769,769,0,1344,3000,5514,0.699761335,0.204411498,0,0,0.095827167,-1480.022636,-1436.72657,-43.29606608,
4,0,0,609,2497,2497,0,3106,2600,6936,0.204585325,0.03242923,0,0,0.762985445,1185.416639,1271.470804,-86.05416505,
5,0,0,823,868,868,0,1691,2600,5501,0.569313056,0.061678302,0,0,0.369008642,-802.7724618,-925.0662068,122.293745,
6,0,74,638,2737,2737,0,3449,3000,7639,0.188626273,0.356461174,0,0,0.454912554,-474.8598758,-887.66201,412.8021342,
7,0,0,786,669,786,0,1455,2600,5225,0.247750598,0.379452566,0,0,0.372796836,-1054.03548,-994.566845,-59.46863458,
8,0,0,1067,764,1067,0,1831,2600,5621,0.374411101,0.384303175,0,0,0.241285724,-1427.283115,-1515.062347,87.779232,
9,0,217,2351,1794,2351,0,4362,3800,9352,0.805612293,0.11998152,0,0,0.074406187,-3795.081652,-3065.952551,-729.1291014,
10,0,416,1509,1524,1524,0,3449,3000,7599,0.405045339,0.298993518,0,0,0.295961143,-1842.937149,-2327.789978,484.8528291,
11,0,0,1082,4267,4267,0,5349,2600,9179,0.234532297,0.75812225,0,0,0.007345453,-3194.288061,-3632.697714,438.4096533,
12,0,0,481,1684,1684,0,2165,2600,5995,0.094239392,0.459240345,0,0,0.446520263,-646.1130591,-854.4361407,208.3230817,
13,0,0,271,1507,1507,0,1778,2600,5558,0.318675666,0.360279309,0,0,0.321045025,-1019.516685,-1271.470681,251.9539964,
14,0,0,462,602,602,0,1064,2600,4824,0.607033125,0.177366939,0,0,0.215599936,-977.2461247,-890.4403878,-86.80573682,
15,0,0,577,1928,1928,0,2505,2600,6325,0.54899621,0.006215088,0,0,0.444788701,-533.8421209,-1187.773211,653.9310901,
16,0,0,1063,1059,1063,0,2122,3000,6302,0.45498861,0.420406082,0,0,0.124605308,-2094.248635,-5513.47278,3419.224145,
17,0,326,530,1016,1016,0,1872,3400,6442,0.449365656,0.54246503,0,0,0.008169315,-2677.293584,-3149.521611,472.228027,
18,0,0,457,2931,2931,0,3388,3000,7558,0.193803552,0.419751887,0,0,0.386444561,-783.1930848,-998.4455169,215.2524322,
19,0,0,856,3817,3817,0,4673,2600,8523,0.48536203,0.431441819,0,0,0.083196151,-3072.285787,-2955.432041,-116.8537463,
20,0,0,816,3627,3627,0,4443,2600,8253,0.407015081,0.306421916,0,0,0.286563003,-1565.700972,-1671.394288,105.6933153,
21,0,0,534,1150,1150,0,1684,2600,5454,0.470982272,0.25846018,0,0,0.270557548,-1153.989435,-1174.071169,20.0817342,
22,0,7,566,636,636,0,1209,2600,4999,0.3634303,0.213855671,0,0,0.422714029,-726.5658541,-617.2092159,-109.3566382,
23,0,107,483,1378,1378,0,1968,2600,5758,0.707681288,0.257809056,0,0,0.034509656,-2015.466014,-1924.465893,-91.00012086,
24,0,0,658,3400,3400,0,4058,3400,8648,0.122558968,0.049807404,0,0,0.827633628,2147.264872,1690.461427,456.8034451,
25,0,64,1267,789,1267,0,2120,2600,5900,0.356220187,0.362511912,0,0,0.2812679,-1341.351339,-1523.338128,181.9867891,
26,0,445,1538,1584,1584,0,3567,3400,8127,0.470318317,0.239686616,0,0,0.289995067,-2033.207745,-2332.217399,299.0096537,
27,0,61,1281,793,1281,0,2135,2600,5925,0.931623038,0.057201781,0,0,0.011175181,-2123.424411,-3314.352381,1190.927969,
28,0,20,378,3544,3544,0,3942,3400,8532,0.274112889,0.067191648,0,0,0.658695463,1025.412113,-45.66355031,1071.075663,
29,0,167,658,3055,3055,0,3880,3000,8070,0.004360763,0.3651577,0,0,0.630481537,813.728235,496.8445628,316.8836722,
30,0,0,1189,2142,2142,0,3331,2600,7161,0.443810182,0.133899359,0,0,0.422290459,-921.9238867,-1360.445619,438.5217327,
31,0,97,491,633,633,0,1221,2600,5001,0.390196473,0.581338845,0,0,0.028464682,-1969.892748,-1801.789312,-168.1034357,
